id,name,category,group,lat,lon,watershed,mlra_name,elevation_m,slope_deg,aspect_deg,nlcd_class,cdl_class,soil_map_unit,ecological_site,soil_taxonomy,parent_material,temp_regime,moisture_regime,ph,organic_matter_pct,cec,sand_pct,silt_pct,clay_pct,dist_to_town_km,dist_to_road_km,dist_to_forest_boundary_km
kmeans-Spring_Creek-Yampa_River-1,K-Means site 1 — Spring Creek-Yampa River,kmeans,Spring Creek-Yampa River,40.4529094907,-108.3173867399,Spring Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1885.7,3.9,93.7,Shrub/Scrub,Shrubland,"Ryan Park-Coyet complex, 5 to 25 percent slopes",Sandy Slopes,"Coarse-loamy, mixed Borollic Haplargids",residuum derived from sandstone,frigid,Aridic (torric),7.6,1.4,7.8,81.3,10.4,8.4,20.0,0.1,68.8
kmeans-Spring_Creek-Yampa_River-2,K-Means site 2 — Spring Creek-Yampa River,kmeans,Spring Creek-Yampa River,40.4598585145,-108.3388213747,Spring Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1932.6,13.5,104.2,Shrub/Scrub,Evergreen Forest,"Grieves-Crestman complex, 10 to 40 percent slopes",Sandy Slopes,"Coarse-loamy, mixed (calcareous), frigid Ustic Torriorthents",alluvium derived from sandstone,frigid,Aridic (torric),8.1,0.42,7.5,74.4,14.1,11.5,21.5,1.8,70.8
kmeans-Spring_Creek-Yampa_River-3,K-Means site 3 — Spring Creek-Yampa River,kmeans,Spring Creek-Yampa River,40.4550575896,-108.3612721305,Spring Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1976.1,9.8,270.2,Evergreen Forest,Evergreen Forest,"Grieves-Crestman complex, 10 to 40 percent slopes",Sandy Slopes,"Coarse-loamy, mixed (calcareous), frigid Ustic Torriorthents",alluvium derived from sandstone,frigid,Aridic (torric),8.1,0.42,7.5,74.4,14.1,11.5,23.5,1.7,72.4
kmeans-Spring_Creek-Yampa_River-4,K-Means site 4 — Spring Creek-Yampa River,kmeans,Spring Creek-Yampa River,40.6951987965,-107.9525447733,Spring Creek-Yampa River,Cool Central Desertic Basins and Plateaus,2081.9,7.0,169.7,Shrub/Scrub,Shrubland,"Ironsprings-Maysprings-Gretdivid complex, 10 to 20 percent slopes",Sandy Land,"Coarse-loamy, mixed Aridic Argiborolls",colluvium derived from sandstone,frigid,,7.0,1.5,7.5,81.9,10.6,7.5,22.1,0.7,43.4
kmeans-Spring_Creek-Yampa_River-5,K-Means site 5 — Spring Creek-Yampa River,kmeans,Spring Creek-Yampa River,40.4849965469,-108.2793244417,Spring Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1892.5,5.5,288.3,Shrub/Scrub,Shrubland,"Ryan Park-Coyet complex, 5 to 25 percent slopes",Sandy Slopes,"Coarse-loamy, mixed Borollic Haplargids",residuum derived from sandstone,frigid,Aridic (torric),7.6,1.4,7.8,81.3,10.4,8.4,15.9,0.1,67.1
clhs-Spring_Creek-Yampa_River-1,cLHS site 1 — Spring Creek-Yampa River,clhs,Spring Creek-Yampa River,40.4204444944,-108.2487161932,Spring Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1957.2,5.7,291.1,Shrub/Scrub,Shrubland,"Grieves-Crestman complex, 10 to 40 percent slopes",Sandy Slopes,"Coarse-loamy, mixed (calcareous), frigid Ustic Torriorthents",alluvium derived from sandstone,frigid,Aridic (torric),8.1,0.42,7.5,74.4,14.1,11.5,16.7,0.8,62.2
clhs-Spring_Creek-Yampa_River-2,cLHS site 2 — Spring Creek-Yampa River,clhs,Spring Creek-Yampa River,40.4204951782,-108.4243860063,Spring Creek-Yampa River,Warm Central Desertic Basins and Plateaus,1982.6,4.4,43.0,Evergreen Forest,Evergreen Forest,"Grieves-Crestman complex, 10 to 40 percent slopes",Sandy Slopes,"Coarse-loamy, mixed (calcareous), frigid Ustic Torriorthents",alluvium derived from sandstone,frigid,Aridic (torric),8.1,0.42,7.5,74.4,14.1,11.5,29.8,3.3,76.5
clhs-Spring_Creek-Yampa_River-3,cLHS site 3 — Spring Creek-Yampa River,clhs,Spring Creek-Yampa River,40.5221416104,-108.3374348519,Spring Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1855.6,3.3,171.2,Shrub/Scrub,Shrubland,"Rock River sandy loam, 12 to 25 percent slopes",Rolling Loam,"Fine-loamy, mixed Borollic Haplargids",residuum derived from sandstone,frigid,Aridic (torric),7.2,1.15,12.5,61.7,18.6,19.7,20.5,0.5,73.2
clhs-Spring_Creek-Yampa_River-4,cLHS site 4 — Spring Creek-Yampa River,clhs,Spring Creek-Yampa River,40.4793532868,-108.2458029307,Spring Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1904.0,1.9,335.2,Shrub/Scrub,Shrubland,"Rock River sandy loam, 3 to 12 percent slopes",Rolling Loam,"Fine-loamy, mixed Borollic Haplargids",eolian deposits and residuum derived from sandstone,frigid,Aridic (torric),7.2,1.15,12.5,61.7,18.6,19.7,13.3,1.1,64.2
clhs-Spring_Creek-Yampa_River-5,cLHS site 5 — Spring Creek-Yampa River,clhs,Spring Creek-Yampa River,40.5259910017,-108.2883616062,Spring Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1834.4,12.0,98.4,Shrub/Scrub,Shrubland,"Coyet-Crestman, moist complex, 20 to 50 percent slopes",Sandy Slopes,"Mixed, frigid Ustic Torripsamments",alluvium and residuum derived from sandstone,frigid,Aridic (torric),7.9,0.52,5.1,82.5,9.0,8.5,16.3,2.0,69.6
kmeans-Deception_Creek-Yampa_River-1,K-Means site 1 — Deception Creek-Yampa River,kmeans,Deception Creek-Yampa River,40.4200128963,-108.0864394506,Deception Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1921.8,6.0,98.3,Shrub/Scrub,Shrubland,"Rock River sandy loam, 3 to 12 percent slopes",Rolling Loam,"Fine-loamy, mixed Borollic Haplargids",eolian deposits and residuum derived from sandstone,frigid,Aridic (torric),7.2,1.15,12.5,61.7,18.6,19.7,10.5,0.4,49.2
kmeans-Deception_Creek-Yampa_River-2,K-Means site 2 — Deception Creek-Yampa River,kmeans,Deception Creek-Yampa River,40.3208898743,-107.9753907872,Deception Creek-Yampa River,Southern Rocky Mountains,2268.4,19.1,88.2,Shrub/Scrub,Shrubland,"Torriorthents-Rock outcrop, sandstone complex, 25 to 75 percent slopes",Loamy Breaks,"Coarse-loamy, mixed, superactive, calcareous, frigid Ustic Torriorthents",colluvium derived from sandstone and/or residuum weathered from sandstone,frigid,Aridic (torric),7.8,0.77,10.0,68.3,19.7,12.0,23.2,2.3,36.9
kmeans-Deception_Creek-Yampa_River-3,K-Means site 3 — Deception Creek-Yampa River,kmeans,Deception Creek-Yampa River,40.3371973929,-108.070536479,Deception Creek-Yampa River,Southern Rocky Mountains,2296.6,19.7,284.2,Shrub/Scrub,Shrubland,"Torriorthents-Rock outcrop, sandstone complex, 25 to 75 percent slopes",Loamy Breaks,"Coarse-loamy, mixed, superactive, calcareous, frigid Ustic Torriorthents",colluvium derived from sandstone and/or residuum weathered from sandstone,frigid,Aridic (torric),7.8,0.77,10.0,68.3,19.7,12.0,19.7,5.0,45.1
kmeans-Deception_Creek-Yampa_River-4,K-Means site 4 — Deception Creek-Yampa River,kmeans,Deception Creek-Yampa River,40.4548180936,-108.053519258,Deception Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1996.1,14.5,207.8,Evergreen Forest,Evergreen Forest,"Grieves-Crestman complex, 10 to 40 percent slopes",Sandy Slopes,"Coarse-loamy, mixed (calcareous), frigid Ustic Torriorthents",alluvium derived from sandstone,frigid,Aridic (torric),8.1,0.42,7.5,74.4,14.1,11.5,6.9,1.5,48.3
kmeans-Deception_Creek-Yampa_River-5,K-Means site 5 — Deception Creek-Yampa River,kmeans,Deception Creek-Yampa River,40.4755848021,-107.9013365838,Deception Creek-Yampa River,Cool Central Desertic Basins and Plateaus,1917.4,5.8,289.9,Shrub/Scrub,Shrubland,"Rock River sandy loam, 3 to 12 percent slopes",Rolling Loam,"Fine-loamy, mixed Borollic Haplargids",eolian deposits and residuum derived from sandstone,frigid,Aridic (torric),7.2,1.15,12.5,61.7,18.6,19.7,15.5,0.3,38.8
